id,topic,tweet,sentiment
1,Climate Change,The floods this year destroyed my hometown. We need urgent action.,sad
2,Climate Change,Finally seeing more solar panels in my city gives me hope!,happy
3,Climate Change,Rising sea levels scare me more than anything else.,fear
4,Climate Change,Politicians keep ignoring climate science. I'm furious!,angry
5,Climate Change,Not sure if these climate reports are exaggerated or real.,confusion
6,Climate Change,Proud to join the march for climate justice today!,supportive
7,Climate Change,Carbon taxes are just a scam to control people.,opposing
8,Climate Change,Wildfires are getting worse every year. Heartbreaking.,sad
9,Climate Change,Our community garden is thriving thanks to rainwater harvesting!,happy
10,Climate Change,Melting glaciers are a ticking time bomb.,fear
11,Climate Change,The government's inaction on climate change is unacceptable!,angry
12,Climate Change,I don't understand how climate change works exactly.,confusion
13,Climate Change,Switching to electric vehicles is the right move!,supportive
14,Climate Change,"Climate change is just a political tool, not a real threat.",opposing
15,Climate Change,Another drought this year. Crops are failing again.,sad
16,Climate Change,Seeing kids plant trees today made me smile.,happy
17,Climate Change,Hurricanes are becoming more intense. It's terrifying.,fear
18,Climate Change,Corporations polluting rivers should be punished!,angry
19,Climate Change,Confused about whether recycling actually helps.,confusion
20,Climate Change,Joining a local clean-up drive this weekend!,supportive
21,Climate Change,Global warming is a hoax pushed by elites.,opposing
22,Climate Change,The coral reefs are dying. This is tragic.,sad
23,Climate Change,Wind farms are beautiful and inspiring.,happy
24,Climate Change,The Arctic ice is disappearing faster than predicted.,fear
25,Climate Change,Leaders who deny climate change make me angry.,angry
26,Climate Change,I’m unsure if climate change is caused by humans.,confusion
27,Climate Change,Supporting renewable energy is the way forward.,supportive
28,Climate Change,Climate change is just fearmongering.,opposing
29,Climate Change,Another record-breaking heatwave this summer.,sad
30,Climate Change,Solar energy is powering our school now!,happy
31,Climate Change,The thought of mass extinction keeps me up at night.,fear
32,Climate Change,Oil companies hiding climate data is criminal!,angry
33,Climate Change,Not sure if planting trees really offsets emissions.,confusion
34,Climate Change,Donating to climate research today!,supportive
35,Climate Change,Climate change is a myth spread by scientists for funding.,opposing
36,Climate Change,The drought has left our fields barren.,sad
37,Climate Change,Rainwater harvesting has improved our water supply!,happy
38,Climate Change,The rising temperatures are alarming.,fear
39,Climate Change,Frustrated with slow climate policy changes.,angry
40,Climate Change,I don't get how carbon credits work.,confusion
41,Climate Change,Happy to see more electric buses in the city.,supportive
42,Climate Change,Climate change is just a distraction from real issues.,opposing
43,Climate Change,The wildfire smoke is unbearable.,sad
44,Climate Change,Our rooftop solar panels are finally installed!,happy
45,Climate Change,The melting permafrost is a huge threat.,fear
46,Climate Change,Angry at industries dumping waste into oceans.,angry
47,Climate Change,Confused about climate models and predictions.,confusion
48,Climate Change,Supporting climate education in schools.,supportive
49,Climate Change,Climate change is exaggerated by the media.,opposing
50,Climate Change,The floods have displaced thousands of families.,sad
51,Geopolitics,The refugee crisis is heartbreaking to watch.,sad
52,Geopolitics,Peace talks between the nations bring hope.,happy
53,Geopolitics,The threat of war is terrifying.,fear
54,Geopolitics,Corruption in politics makes me furious.,angry
55,Geopolitics,I don't understand the trade agreements fully.,confusion
56,Geopolitics,Supporting diplomatic solutions over war.,supportive
57,Geopolitics,Foreign aid is just a way to control smaller nations.,opposing
58,Geopolitics,The destruction in conflict zones is tragic.,sad
59,Geopolitics,Historic peace treaty signed today!,happy
60,Geopolitics,Nuclear weapons scare me to death.,fear
61,Geopolitics,Leaders ignoring human rights abuses is infuriating.,angry
62,Geopolitics,Confused about the border dispute details.,confusion
63,Geopolitics,Backing the UN's humanitarian mission.,supportive
64,Geopolitics,Sanctions only hurt ordinary people.,opposing
65,Geopolitics,The famine caused by war is devastating.,sad
66,Geopolitics,Seeing nations unite for disaster relief is uplifting.,happy
67,Geopolitics,The rise of extremism is frightening.,fear
68,Geopolitics,Angry at the lack of accountability in global politics.,angry
69,Geopolitics,Not sure why these alliances are shifting.,confusion
70,Geopolitics,Supporting free press worldwide.,supportive
71,Geopolitics,Foreign policy is just a game for the powerful.,opposing
72,Geopolitics,The displacement of families is heartbreaking.,sad
73,Geopolitics,International cooperation on climate is inspiring.,happy
74,Geopolitics,The possibility of cyberwarfare is scary.,fear
75,Geopolitics,Frustrated with leaders who ignore treaties.,angry
76,Geopolitics,I don't get the purpose of these summits.,confusion
77,Geopolitics,Backing peacekeeping forces in conflict zones.,supportive
78,Geopolitics,Military interventions rarely solve problems.,opposing
79,Geopolitics,The bombing of civilian areas is tragic.,sad
80,Geopolitics,Diplomatic breakthroughs make me smile.,happy
81,Geopolitics,The spread of nuclear tech is terrifying.,fear
82,Geopolitics,Angry at propaganda spreading lies.,angry
83,Geopolitics,Confused about the sanctions' impact.,confusion
84,Geopolitics,Supporting refugee resettlement programs.,supportive
85,Geopolitics,Foreign aid is wasted on corrupt governments.,opposing
86,Geopolitics,The humanitarian crisis is unbearable.,sad
87,Geopolitics,Global unity against terrorism is encouraging.,happy
88,Geopolitics,The threat of biological warfare is alarming.,fear
89,Geopolitics,Frustrated with endless political debates.,angry
90,Geopolitics,Not sure how these conflicts even started.,confusion
91,Geopolitics,Backing international law enforcement.,supportive
92,Geopolitics,Peace talks are just for show.,opposing
93,Geopolitics,The destruction of heritage sites is heartbreaking.,sad
